,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
163,Toronto,599000,2,1,Ontario,5647656,43.7417,-79.3733,97000
164,Toronto,1095000,2,1,Ontario,5647656,43.7417,-79.3733,97000
165,Toronto,899000,2,2,Ontario,5647656,43.7417,-79.3733,97000
166,Toronto,8478000,4,4,Ontario,5647656,43.7417,-79.3733,97000
167,Toronto,585000,1,1,Ontario,5647656,43.7417,-79.3733,97000
168,Toronto,2550000,2,2,Ontario,5647656,43.7417,-79.3733,97000
169,Toronto,1495000,2,1,Ontario,5647656,43.7417,-79.3733,97000
170,Toronto,1300000,2,3,Ontario,5647656,43.7417,-79.3733,97000
171,Toronto,2095000,3,2,Ontario,5647656,43.7417,-79.3733,97000
172,Toronto,595500,1,1,Ontario,5647656,43.7417,-79.3733,97000
173,Toronto,819800,2,2,Ontario,5647656,43.7417,-79.3733,97000
174,Toronto,755000,2,1,Ontario,5647656,43.7417,-79.3733,97000
175,Toronto,918000,3,2,Ontario,5647656,43.7417,-79.3733,97000
176,Toronto,749000,2,2,Ontario,5647656,43.7417,-79.3733,97000
177,Toronto,2488888,4,4,Ontario,5647656,43.7417,-79.3733,97000
178,Toronto,1199000,5,2,Ontario,5647656,43.7417,-79.3733,97000
179,Toronto,448800,3,2,Ontario,5647656,43.7417,-79.3733,97000
180,Toronto,788000,3,3,Ontario,5647656,43.7417,-79.3733,97000
181,Toronto,697000,2,1,Ontario,5647656,43.7417,-79.3733,97000
182,Toronto,709000,2,1,Ontario,5647656,43.7417,-79.3733,97000
183,Toronto,899900,2,2,Ontario,5647656,43.7417,-79.3733,97000
184,Toronto,1850000,5,5,Ontario,5647656,43.7417,-79.3733,97000
185,Toronto,1549000,3,3,Ontario,5647656,43.7417,-79.3733,97000
186,Toronto,569000,1,1,Ontario,5647656,43.7417,-79.3733,97000
187,Toronto,1039000,3,1,Ontario,5647656,43.7417,-79.3733,97000
188,Toronto,1799000,4,4,Ontario,5647656,43.7417,-79.3733,97000
189,Toronto,899000,2,1,Ontario,5647656,43.7417,-79.3733,97000
190,Toronto,599000,2,1,Ontario,5647656,43.7417,-79.3733,97000
191,Toronto,738000,2,1,Ontario,5647656,43.7417,-79.3733,97000
192,Toronto,619990,2,1,Ontario,5647656,43.7417,-79.3733,97000
193,Toronto,1150000,3,1,Ontario,5647656,43.7417,-79.3733,97000
194,Toronto,3495000,5,6,Ontario,5647656,43.7417,-79.3733,97000
195,Toronto,2588168,4,5,Ontario,5647656,43.7417,-79.3733,97000
196,Toronto,1699000,5,3,Ontario,5647656,43.7417,-79.3733,97000
197,Toronto,1699000,5,3,Ontario,5647656,43.7417,-79.3733,97000
198,Toronto,1250000,2,2,Ontario,5647656,43.7417,-79.3733,97000
199,Toronto,799999,2,2,Ontario,5647656,43.7417,-79.3733,97000
200,Toronto,2449000,4,4,Ontario,5647656,43.7417,-79.3733,97000
201,Toronto,699000,2,1,Ontario,5647656,43.7417,-79.3733,97000
202,Toronto,1139900,3,3,Ontario,5647656,43.7417,-79.3733,97000
203,Toronto,1199000,6,4,Ontario,5647656,43.7417,-79.3733,97000
204,Toronto,719000,1,1,Ontario,5647656,43.7417,-79.3733,97000
205,Toronto,515000,1,1,Ontario,5647656,43.7417,-79.3733,97000
206,Toronto,1499000,3,4,Ontario,5647656,43.7417,-79.3733,97000
207,Toronto,1599000,5,4,Ontario,5647656,43.7417,-79.3733,97000
208,Toronto,729000,2,2,Ontario,5647656,43.7417,-79.3733,97000
209,Toronto,1390000,3,2,Ontario,5647656,43.7417,-79.3733,97000
210,Toronto,558900,2,1,Ontario,5647656,43.7417,-79.3733,97000
211,Toronto,499000,1,1,Ontario,5647656,43.7417,-79.3733,97000
212,Toronto,1799000,4,3,Ontario,5647656,43.7417,-79.3733,97000
213,Toronto,579900,1,1,Ontario,5647656,43.7417,-79.3733,97000
214,Toronto,1089000,3,2,Ontario,5647656,43.7417,-79.3733,97000
215,Toronto,899000,2,1,Ontario,5647656,43.7417,-79.3733,97000
216,Toronto,865000,4,3,Ontario,5647656,43.7417,-79.3733,97000
217,Toronto,899900,4,2,Ontario,5647656,43.7417,-79.3733,97000
218,Toronto,599900,1,1,Ontario,5647656,43.7417,-79.3733,97000
219,Toronto,2495000,4,3,Ontario,5647656,43.7417,-79.3733,97000
220,Toronto,799900,2,2,Ontario,5647656,43.7417,-79.3733,97000
221,Toronto,799000,2,1,Ontario,5647656,43.7417,-79.3733,97000
222,Toronto,549000,1,1,Ontario,5647656,43.7417,-79.3733,97000
223,Toronto,1549000,3,3,Ontario,5647656,43.7417,-79.3733,97000
224,Toronto,1190000,4,2,Ontario,5647656,43.7417,-79.3733,97000
225,Toronto,749900,2,1,Ontario,5647656,43.7417,-79.3733,97000
226,Toronto,625000,1,1,Ontario,5647656,43.7417,-79.3733,97000
227,Toronto,2799000,3,2,Ontario,5647656,43.7417,-79.3733,97000
228,Toronto,809000,2,2,Ontario,5647656,43.7417,-79.3733,97000
229,Toronto,779000,3,2,Ontario,5647656,43.7417,-79.3733,97000
230,Toronto,2750000,3,3,Ontario,5647656,43.7417,-79.3733,97000
231,Toronto,799000,3,2,Ontario,5647656,43.7417,-79.3733,97000
232,Toronto,679000,2,1,Ontario,5647656,43.7417,-79.3733,97000
233,Toronto,5899000,5,5,Ontario,5647656,43.7417,-79.3733,97000
234,Toronto,1200000,2,2,Ontario,5647656,43.7417,-79.3733,97000
235,Toronto,3999000,4,4,Ontario,5647656,43.7417,-79.3733,97000
236,Toronto,849900,3,2,Ontario,5647656,43.7417,-79.3733,97000
237,Toronto,649000,2,2,Ontario,5647656,43.7417,-79.3733,97000
238,Toronto,3500000,6,4,Ontario,5647656,43.7417,-79.3733,97000
239,Toronto,749000,2,1,Ontario,5647656,43.7417,-79.3733,97000
240,Toronto,2665000,6,5,Ontario,5647656,43.7417,-79.3733,97000
241,Toronto,915000,3,2,Ontario,5647656,43.7417,-79.3733,97000
242,Toronto,729888,2,1,Ontario,5647656,43.7417,-79.3733,97000
243,Toronto,819900,3,2,Ontario,5647656,43.7417,-79.3733,97000
244,Toronto,739000,2,2,Ontario,5647656,43.7417,-79.3733,97000
245,Toronto,3288000,6,5,Ontario,5647656,43.7417,-79.3733,97000
246,Toronto,850000,2,1,Ontario,5647656,43.7417,-79.3733,97000
247,Toronto,2028900,3,3,Ontario,5647656,43.7417,-79.3733,97000
248,Toronto,899888,4,3,Ontario,5647656,43.7417,-79.3733,97000
249,Toronto,1250000,5,3,Ontario,5647656,43.7417,-79.3733,97000
250,Toronto,499000,1,1,Ontario,5647656,43.7417,-79.3733,97000
251,Toronto,836000,2,2,Ontario,5647656,43.7417,-79.3733,97000
